speaker,index,word,time,word.dur,voicing.dur,vowel.dur,cluster.dur,spreading.dur,sonorant.dur,closure.dur,vor,voffr,mor,cond_no,ipa,cons1,vowel,height,anteroposterior,roundness,consonant,manner,place,aspiration,syllables,syl_structure,gloss,pos,comp,contx
shg05,133,gogg,358.72717687074834,274.99190152252595,91.99187452759361,91.99187452759361,85.96371882083531,NA,NA,85.96371882083531,177.95559334842892,85.96371882083531,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
tt01,13,gogg,44.86251020408163,584.1638908436905,94.57466405954307,94.57466405954307,205.11661807579884,NA,NA,205.11661807579884,299.6912821353419,205.11661807579884,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
tt01,14,gogg,48.08562547241118,559.2587619843314,97.17349783142737,97.17349783142737,204.59580291213086,NA,NA,204.59580291213086,301.76930074355823,204.59580291213086,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
tt01,15,gogg,51.33272005772006,510.33937657997797,89.06054095916716,89.06054095916716,178.50652795937094,NA,NA,178.50652795937094,267.5670689185381,178.50652795937094,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
brs02,78,dökk,264.0713860544218,441.54633065346616,170.32887715612333,74.37889523100694,224.69896838839531,58.37852567930213,154.32850760441852,70.3704607839768,299.07786361940225,128.74898646327892,224.69896838839531,3,tœʰk,nasp,œ,mid,front,round,ʰk,stop,velar,yes,mono,cvcc,dark,adj,c,cc
brs02,79,dökk,266.68532146191814,428.76395002440404,173.26418133393418,84.38187778591555,220.82481335615967,41.43221574344125,130.31451929145987,90.51029406469979,305.2066911420752,131.94250980814104,220.82481335615967,3,tœʰk,nasp,œ,mid,front,round,ʰk,stop,velar,yes,mono,cvcc,dark,adj,c,cc
brs02,80,dökk,269.2495794681509,448.13784099500253,167.69101193585811,87.71097433680097,238.2636264381972,53.17390545963008,133.15394305868722,105.10968337950999,325.9746007749982,158.28358883914007,238.2636264381972,3,tœʰk,nasp,œ,mid,front,round,ʰk,stop,velar,yes,mono,cvcc,dark,adj,c,cc
jj04,143,dökk,479.3517249757046,492.9311089514954,131.39304610734825,98.12615955473802,225.4339311482454,101.35719684700462,134.62408339961485,90.80984774863055,323.5600907029834,192.16704459563516,225.4339311482454,3,tœʰk,nasp,œ,mid,front,round,ʰk,stop,velar,yes,mono,cvcc,dark,adj,c,cc
jj04,144,dökk,481.8471833495303,474.1596725269801,141.79305406372578,108.64188767294536,222.74586742906877,108.50173051676393,141.65289690754435,81.09297052152442,331.3877551020141,189.59470103828835,222.74586742906877,3,tœʰk,nasp,œ,mid,front,round,ʰk,stop,velar,yes,mono,cvcc,dark,adj,c,cc
jj04,145,dökk,484.32361224489796,483.9642857143076,121.4960273515544,83.74542910257787,237.10302138874795,113.29044279204936,151.0410410410259,86.06198034772206,320.8484504913258,199.35242313977142,237.10302138874795,3,tœʰk,nasp,œ,mid,front,round,ʰk,stop,velar,yes,mono,cvcc,dark,adj,c,cc
shg05,80,dökk,220.17936004031242,405.3935908697781,82.79909576461364,65.2676684233029,221.46312948001423,131.94322324545738,149.47465058676812,71.98847889324611,286.7307979033171,203.93170213870349,221.46312948001423,3,tœʰk,nasp,œ,mid,front,round,ʰk,stop,velar,yes,mono,cvcc,dark,adj,c,cc
shg05,81,dökk,222.75324962609156,394.90194141373536,89.8087568360495,72.0053495082027,210.3566909151766,129.15438397581624,146.95779130366304,63.39889961151357,282.3620404233793,192.55328358732982,210.3566909151766,3,tœʰk,nasp,œ,mid,front,round,ʰk,stop,velar,yes,mono,cvcc,dark,adj,c,cc
shg05,82,dökk,225.5374724951709,372.31586461746247,87.84559286868898,74.47851616197454,177.1044069801917,114.64095839139077,128.0080350981052,49.09637188208649,251.58292314216624,163.73733027347726,177.1044069801917,3,tœʰk,nasp,œ,mid,front,round,ʰk,stop,velar,yes,mono,cvcc,dark,adj,c,cc
tt01,80,dökk,247.06627632005183,500.717144000447,103.09467546414908,63.66427955100562,271.86231471242195,140.96508206458225,180.3954779777257,91.46683673469624,335.52659426342757,232.4319187992785,271.86231471242195,3,tœʰk,nasp,œ,mid,front,round,ʰk,stop,velar,yes,mono,cvcc,dark,adj,c,cc
tt01,81,dökk,249.59287414965985,409.3694885361856,102.62180012784938,75.34073230397098,226.51181299548284,121.68506023098757,148.96612805486598,77.54568494061687,301.8525452994538,199.23074517160444,226.51181299548284,3,tœʰk,nasp,œ,mid,front,round,ʰk,stop,velar,yes,mono,cvcc,dark,adj,c,cc
tt01,82,dökk,252.42232426303855,444.731471535988,107.09204669521455,79.573869316107,235.69655984320548,122.30536659106406,149.8235439701716,85.87301587303386,315.27042915931247,208.17838246409792,235.69655984320548,3,tœʰk,nasp,œ,mid,front,round,ʰk,stop,velar,yes,mono,cvcc,dark,adj,c,cc
brs02,60,dögg,211.99282003710573,350.7891843606217,87.64448388052415,87.64448388052415,123.00782148608391,NA,NA,123.00782148608391,210.65230536660806,123.00782148608391,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
brs02,61,dögg,214.76270327178491,386.9750161969421,94.1393183535979,94.1393183535979,132.1148904006293,NA,NA,132.1148904006293,226.2542087542272,132.1148904006293,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
brs02,62,dögg,217.78230333158905,323.2998430141265,99.51151645029199,99.51151645029199,99.77720188604167,NA,NA,99.77720188604167,199.28871833633366,99.77720188604167,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
bte03,21,dögg,165.67656009070296,524.0758606472582,97.16553287981355,97.16553287981355,226.9985569985522,NA,NA,226.9985569985522,324.16408987836576,226.9985569985522,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
bte03,22,dögg,170.60386621315192,503.0045351473973,92.97160891645717,92.97160891645717,235.1355731639444,NA,NA,235.1355731639444,328.10718208040157,235.1355731639444,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
bte03,23,dögg,175.55756235827664,482.2505668934127,102.0357288214484,102.0357288214484,211.5362811791499,NA,NA,211.5362811791499,313.5720100005983,211.5362811791499,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
bte03,93,dögg,549.6480952380953,484.656375370605,87.42976820349213,87.42976820349213,226.47266313936143,NA,NA,226.47266313936143,313.90243134285356,226.47266313936143,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
bte03,94,dögg,553.0663832199547,477.75258251454034,103.0723562151934,103.0723562151934,234.367346938825,NA,NA,234.367346938825,337.4397031540184,234.367346938825,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
bte03,95,dögg,557.0715419501134,438.4438775509807,102.71541950123719,102.71541950123719,203.96696557406813,NA,NA,203.96696557406813,306.6823850753053,203.96696557406813,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
jj04,40,dögg,148.9532335600907,421.6009070294717,114.84723067184177,114.84723067184177,147.853048626871,NA,NA,147.853048626871,262.70027929871276,147.853048626871,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
jj04,41,dögg,151.23149659863947,388.5657596371743,122.73944498431888,122.73944498431888,113.54389374798757,NA,NA,113.54389374798757,236.28333873230645,113.54389374798757,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
jj04,42,dögg,153.5047648442093,374.0758587385642,114.67057193249275,114.67057193249275,127.48299319727607,NA,NA,127.48299319727607,242.15356512976882,127.48299319727607,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
shg05,74,dögg,203.9280782312925,302.76954177898574,95.31031001210977,95.31031001210977,99.14909297052077,NA,NA,99.14909297052077,194.45940298263054,99.14909297052077,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
shg05,75,dögg,206.45958049886622,310.9495464852614,101.12919771080442,101.12919771080442,72.79668460793687,NA,NA,72.79668460793687,173.9258823187413,72.79668460793687,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
shg05,76,dögg,209.2381320861678,331.5300453514567,104.21542742972179,104.21542742972179,113.45325309608256,NA,NA,113.45325309608256,217.66868052580435,113.45325309608256,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
tt01,49,dögg,155.78590136054422,533.5317460317412,110.61336580084458,110.61336580084458,178.62392633824697,NA,NA,178.62392633824697,289.23729213909155,178.62392633824697,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
tt01,50,dögg,158.49891836734693,523.9019274376346,118.33081380697763,118.33081380697763,192.66439909299038,NA,NA,192.66439909299038,310.995212899968,192.66439909299038,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
tt01,51,dögg,161.4604231292517,513.8134542706041,92.24170091317774,92.24170091317774,186.28095682717571,NA,NA,186.28095682717571,278.52265774035345,186.28095682717571,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
tt01,52,dögg,166.8560034665207,416.11804875208236,85.62826930807432,85.62826930807432,172.03433754454522,NA,NA,172.03433754454522,257.66260685261955,172.03433754454522,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
brs02,81,kopp,273.455537414966,448.29251700684836,151.76135374355226,89.95707488344351,199.82698969494095,35.35690819535375,97.1611870554625,102.66580263947844,289.78406457838446,138.0227108348322,199.82698969494095,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
brs02,82,kopp,275.88644800777456,443.9930892991697,153.64013896157758,80.37135049386279,197.58286460324825,39.46490414347181,112.7336926111866,84.84917199206166,277.95421509711105,124.31407613553347,197.58286460324825,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
brs02,83,kopp,278.15639779721414,436.493359248459,129.89098549473965,80.90359012504678,206.4945056212082,84.11722096241192,133.1046163321048,73.3898892891034,287.39809574625497,157.50711025151531,206.4945056212082,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
bte03,30,kopp,220.03217120181407,553.9909297052077,119.3692545801639,84.05456851036774,263.2202038324465,101.29877982936364,136.6134658991598,126.6067379332867,347.27477234281423,227.90551776265033,263.2202038324465,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
bte03,31,kopp,224.00694444444443,592.4092970521713,165.007267317975,96.65528785083666,277.98797421590393,89.15980427258319,157.51178373972152,120.47619047618241,374.6432620667406,209.6359947487656,277.98797421590393,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
bte03,32,kopp,228.46989040060467,559.8715041572291,217.04551739395583,86.23196234231045,254.80901990425764,0.0,130.81355505164538,123.99546485261226,341.0409822465681,123.99546485261226,254.80901990425764,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
jj04,113,kopp,398.6326190476191,449.6334089191123,88.67361663283191,75.6011515118189,204.26603345742933,77.76953205524251,90.84199717625552,113.42403628117381,279.86718496924823,191.19356833641632,204.26603345742933,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
jj04,114,kopp,400.82626417233564,456.07993197279484,103.00075585792001,77.63823478109089,219.90900633761612,85.6235827664591,110.98610384328822,108.9229024943279,297.547241118707,194.546485260787,219.90900633761612,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
jj04,115,kopp,403.110731292517,436.6489437880432,113.16515495093427,92.91842133683303,213.40203541734581,83.77605010252864,104.02278371662987,109.37925170071594,306.32045675417885,193.15530180324458,213.40203541734581,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
shg05,104,kopp,282.2834716553288,345.8779633065774,73.90402303241217,65.14352200662188,147.52791275242316,57.641723356027796,66.40222438181809,81.12568837060508,212.67143475904504,138.76741172663287,147.52791275242316,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
shg05,105,kopp,284.4176928969786,344.2604557910727,85.1385565720193,71.48514649003346,156.29966858534772,61.142857142897356,74.7962672248832,81.50340136046452,227.78481507538118,142.64625850336188,156.29966858534772,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
shg05,106,kopp,286.7890729112158,343.10655779410126,90.87348828421682,68.30313905231833,161.537318666376,61.14040060469961,83.7107498365981,77.8265688297779,229.84045771869432,138.9669694344775,161.537318666376,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
tt01,16,kopp,54.512195011337866,540.0385487528397,95.69406084988685,78.16873412118497,241.1744826873914,115.27330152841131,132.7986282571132,108.3758544302782,319.34321680857636,223.6491559586895,241.1744826873914,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
tt01,17,kopp,57.231249433106576,508.3083900226768,82.4098821369148,72.30685026506478,218.02792873823051,103.10252347257176,113.20555534442178,104.82237339380873,290.3347790032953,207.9248968663805,218.02792873823051,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
tt01,18,kopp,60.08237501349746,548.3392722168219,82.26672094775722,69.79633441620336,229.29722162906074,98.5577496855683,111.02813621712215,118.26908541193859,299.0935560452641,216.8268350975069,229.29722162906074,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
brs02,63,kubb,220.70774808336034,397.4365619263267,81.27183398613624,81.27183398613624,150.38525848049744,NA,NA,150.38525848049744,231.65709246663369,150.38525848049744,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
brs02,64,kubb,223.66257653061226,392.21415489271294,84.52154195009598,84.52154195009598,150.57747543463051,NA,NA,150.57747543463051,235.0990173847265,150.57747543463051,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
brs02,65,kubb,226.79273998488284,386.09383435914424,80.31554834607846,80.31554834607846,153.0495882563514,NA,NA,153.0495882563514,233.36513660242986,153.0495882563514,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
bte03,111,kubb,626.5896145124717,449.11281179133766,70.14058956917779,70.14058956917779,210.4327826368717,NA,NA,210.4327826368717,280.5733722060495,210.4327826368717,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
bte03,112,kubb,629.8449546485261,489.2991135848206,88.19841269837525,88.19841269837525,219.64399092973963,NA,NA,219.64399092973963,307.8424036281149,219.64399092973963,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
bte03,113,kubb,634.0616984126984,517.3265306123085,84.65860418243665,84.65860418243665,238.84698518781988,NA,NA,238.84698518781988,323.50558937025653,238.84698518781988,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
jj04,74,kubb,242.84996598639455,407.3611111111006,77.08296994010766,77.08296994010766,146.63280423280867,NA,NA,146.63280423280867,223.71577417291633,146.63280423280867,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
jj04,75,kubb,244.79302267573698,399.61256883705687,76.12622826908932,76.12622826908932,160.71576456667458,NA,NA,160.71576456667458,236.8419928357639,160.71576456667458,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
jj04,76,kubb,246.80338775510202,392.08616780047123,102.11029711030051,102.11029711030051,156.78219528717818,NA,NA,156.78219528717818,258.8924923974787,156.78219528717818,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
shg05,35,kubb,97.10805829858826,310.8720630300752,43.71027966740826,43.71027966740826,119.3188208616931,NA,NA,119.3188208616931,163.02910052910136,119.3188208616931,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
shg05,36,kubb,99.91142857142859,274.9395313680907,67.75321239607024,67.75321239607024,82.9157218442873,NA,NA,82.9157218442873,150.66893424035754,82.9157218442873,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
shg05,37,kubb,102.99462423064465,299.77747875706484,50.82070529360294,50.82070529360294,119.21557588553355,NA,NA,119.21557588553355,170.0362811791365,119.21557588553355,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
tt01,137,kubb,414.53487394957983,407.74173867077934,91.9717520919221,91.9717520919221,178.29865279446722,NA,NA,178.29865279446722,270.2704048863893,178.29865279446722,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
tt01,138,kubb,417.494003551106,394.8966756514096,94.57904223836522,94.57904223836522,175.40032284102836,NA,NA,175.40032284102836,269.9793650793936,175.40032284102836,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
tt01,139,kubb,420.69262259070297,396.382769016725,92.15996130848225,92.15996130848225,167.7606177606208,NA,NA,167.7606177606208,259.92057906910304,167.7606177606208,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
brs02,51,vítt,186.07147927095366,363.1827525859137,124.85041457958346,73.6185485358476,193.11737210739466,65.25930416171377,116.49117020544963,76.62620190194502,266.73592064324225,141.8855060636588,193.11737210739466,7,viʰt,voi,i,high,front,unrounded,ʰt,stop,coronal,yes,mono,cvcc,far and wide,adv,c,cc
brs02,52,vítt,188.7594800777454,372.71266601877073,150.1566196464239,76.6249039298259,194.55193982355468,28.42042877756512,101.95214449416312,92.59979532939155,271.1768437533806,121.02022410695668,194.55193982355468,7,viʰt,voi,i,high,front,unrounded,ʰt,stop,coronal,yes,mono,cvcc,far and wide,adv,c,cc
brs02,53,vítt,191.52462509448222,338.89342403628575,163.92578169862304,65.56788298360061,191.7525010003942,0.0,98.35789871502243,93.394602285371775,257.3203839839948,93.394602285371775,191.7525010003942,7,viʰt,voi,i,high,front,unrounded,ʰt,stop,coronal,yes,mono,cvcc,far and wide,adv,c,cc
bte03,60,vítt,379.38921768707485,501.95011337871165,104.49008081860711,78.90375180375031,288.0129974948318,137.57137042853174,163.15769944338854,124.85529805144324,366.9167492985821,262.426668479975,288.0129974948318,7,viʰt,voi,i,high,front,unrounded,ʰt,stop,coronal,yes,mono,cvcc,far and wide,adv,c,cc
