lemma,freq_ipm,rank
экономика,156.3,750
литература,156,751
бумага,155.8,752
вместо,155.7,753
впервые,155.5,754
видно,155.2,755
научный,155.1,756
оказываться,155.1,757
поэт,155.1,758
показывать,155,759
степень,155,760
вызвать,154.9,761
касаться,154.7,762
господин,154.6,763
надежда,154.5,764
сложный,154.5,765
Борис,154.4,766
вокруг,154.4,767
предмет,154.4,768
отметить,154.3,769
заявить,154.2,770
вариант,154.1,771
министр,154.1,772
откуда,154,773
реальный,153.8,774
граница,153.7,775
действовать,153.5,776
дух,153.5,777
модель,153.5,778
операция,153.3,779
пара,152.7,780
сон,152.7,781
немного,151.9,782
название,151.8,783
ум,151.5,784
повод,151.2,785
старик,151,786
способный,150.5,787
мало,150.4,788
миллион,150.4,789
малый,150.2,790
старший,149.5,791
успех,149.5,792
практически,149.4,793
получиться,149.3,794
личный,149.2,795
счастье,149.2,796
необходимо,149,797
свободный,149,798
ребята,148.9,799
обычный,148.7,800
кабинет,148.5,801
прекрасный,148.4,802
СССР,148.3,803
высший,147.8,804
Михаил,147.4,805
кричать,147.3,806
прежде,147.3,807
магазин,147.2,808
пространство,147.2,809
выход,147,810
остановиться,147,811
удар,146.8,812
база,146.7,813
знание,146.4,814
текст,146.2,815
сюда,146.1,816
темный,146,817
защита,145.9,818
предлагать,145.9,819
руководство,145.7,820
вовсе,145.3,821
площадь,145.2,822
сознание,145.2,823
гражданский,144.7,824
убить,144.7,825
возраст,144.5,826
молчать,144.5,827
согласиться,144.2,828
участник,144.2,829
участок,144.2,830
рано,144.1,831
пункт,144,832
несмотря,143.9,833
сильно,143.9,834
столь,143.9,835
сообщить,143.8,836
линия,143.7,837
бежать,143.6,838
желание,143.6,839
папа,143.4,840
кажется,143.2,841
петь,143.2,842
доктор,143.1,843
губа,143,844
известно,143,845
дома,142.5,846
вызывать,142.4,847
дочь,142.4,848
показаться,142.4,849
среда,142.4,850
председатель,142.3,851
представление,142.2,852
солдат,142.2,853
художник,142.2,854
принести,141.9,855
волос,141.8,856
оружие,141.8,857
выглядеть,141.7,858
соответствие,141,859
никак,140.5,860
ветер,140.3,861
внешний,140.3,862
парень,140.3,863
служить,140.3,864
зрение,140.2,865
попросить,140.2,866
генерал,140,867
состоять,139.9,868
огонь,139.8,869
отдать,139.8,870
боевой,139.6,871
понятие,139.4,872
строительство,139.4,873
ухо,139.3,874
Европа,139.2,875
выступать,138.8,876
грудь,138.8,877
нос,138.8,878
ставить,138.7,879
завтра,138.5,880
возникать,138.4,881
когда,138.4,882
страх,138.4,883
услуга,138.3,884
рабочий,138,885
что-нибудь,137.6,886
глубокий,137.3,887
содержание,137.3,888
радость,137.2,889
безопасность,137.1,890
надеяться,137.1,891
продукт,136.7,892
видимо,136.4,893
комплекс,136.3,894
бизнес,136.2,895
подняться,136.2,896
вспоминать,135.9,897
Иванович,135.9,898
мало,135.8,899
сад,135.8,900
долгий,135.5,901
одновременно,135.4,902
называться,135.3,903
сотрудник,135.1,904
лето,135,905
тихо,135,906
зато,134.9,907
прямой,134.8,908
курс,134.5,909
помогать,134.5,910
предложение,134.5,911
финансовый,134.5,912
открытый,134.4,913
почему-то,134.4,914
значить,134,915
возникнуть,133.6,916
рот,133.6,917
где-то,133.5,918
технология,133.5,919
знакомый,133.4,920
недавно,133.3,921
реформа,133.1,922
отсутствие,132.4,923
нынешний,132.3,924
собака,132.2,925
камень,131.9,926
будущее,131.4,927
звать,131.3,928
рассказ,131.3,929
контроль,131.2,930
позвонить,131,931
река,131,932
хватать,130.9,933
продукция,130.8,934
сумма,130.6,935
техника,130.5,936
исторический,130.4,937
вновь,130.3,938
народный,130.3,939
прямо,130.3,940
ибо,130,941
выпить,129.9,942
здание,129.9,943
сфера,129.5,944
знаменитый,129.4,945
иначе,129.2,946
потерять,129.2,947
необходимость,129.1,948
больший,128.9,949
фонд,128.6,950
иметься,128.4,951
вперед,128.1,952
подготовка,127.9,953
вчера,127.6,954
лист,127.6,955
пустой,127.5,956
очередной,127.4,957
республика,127.4,958
хозяйство,127.2,959
Виктор,127.1,960
полностью,127,961
получаться,127,962
учиться,126.9,963
плохо,126.5,964
воля,126.4,965
судебный,126.1,966
бюджет,126,967
возвращаться,125.8,968
расти,125.8,969
снег,125.2,970
деревня,125.1,971
обнаружить,125,972
мужик,124.7,973
постоянно,124.6,974
зеленый,124.4,975
элемент,124.4,976
обстоятельство,124.2,977
почувствовать,124.2,978
немец,124.1,979
многое,124,980
победа,124,981
источник,123.7,982
немецкий,123.6,983
золотой,123.5,984
передать,123.5,985
технический,123.4,986
нормальный,123.2,987
едва,123.1,988
желать,123.1,989
ожидать,123,990
некий,122.8,991
звезда,122.7,992
городской,122.4,993
выбор,122,994
Америка,121.9,995
соответствующий,121.8,996
масса,121.7,997
составить,121.6,998
итог,121.5,999
сестра,121.3,1000
